id,num_tournaments,total_players,name,avg_players_per_tournament
112737,6,25,Person ID 112737,4.17
102805,6,22,Person ID 102805,3.67
173026,5,248,Person ID 173026,49.60
106342,5,217,Person ID 106342,43.40
102681,5,215,Person ID 102681,43.00
158338,5,213,Person ID 158338,42.60
109633,5,181,Person ID 109633,36.20
157731,5,137,Person ID 157731,27.40
101241,5,122,Person ID 101241,24.40
101459,5,114,Person ID 101459,22.80
100925,5,108,Person ID 100925,21.60
112361,5,104,Person ID 112361,20.80
106633,5,103,Person ID 106633,20.60
157720,5,102,Person ID 157720,20.40
100337,5,99,Person ID 100337,19.80
104319,5,99,Person ID 104319,19.80
169252,5,99,Person ID 169252,19.80
150763,5,97,Person ID 150763,19.40
160233,5,96,Person ID 160233,19.20
108919,5,94,Person ID 108919,18.80
100991,5,92,Person ID 100991,18.40
108446,5,84,Person ID 108446,16.80
111135,5,77,Person ID 111135,15.40
128107,5,74,Person ID 128107,14.80
172014,5,74,Person ID 172014,14.80
127540,5,73,Person ID 127540,14.60
184609,5,73,Person ID 184609,14.60
122106,5,72,Person ID 122106,14.40
165179,5,70,Person ID 165179,14.00
110040,5,69,Person ID 110040,13.80
152636,5,67,Person ID 152636,13.40
121305,5,63,Person ID 121305,12.60
106106,5,58,Person ID 106106,11.60
101349,5,56,Person ID 101349,11.20
102148,5,54,Person ID 102148,10.80
103673,5,52,Person ID 103673,10.40
102063,5,51,Person ID 102063,10.20
110784,5,51,Person ID 110784,10.20
192281,5,51,Person ID 192281,10.20
161269,5,50,Person ID 161269,10.00
129909,5,48,Person ID 129909,9.60
175011,5,48,Person ID 175011,9.60
146635,5,46,Person ID 146635,9.20
104130,5,45,Person ID 104130,9.00
186039,5,45,Person ID 186039,9.00
107581,5,44,Person ID 107581,8.80
144128,5,40,Person ID 144128,8.00
127525,5,34,Person ID 127525,6.80
122247,5,33,Person ID 122247,6.60
109715,5,29,Person ID 109715,5.80
102519,5,27,Person ID 102519,5.40
135895,5,27,Person ID 135895,5.40
156389,5,24,Person ID 156389,4.80
111022,5,14,Person ID 111022,2.80
101209,5,10,Person ID 101209,2.00
178670,4,199,Person ID 178670,49.75
105444,4,191,Person ID 105444,47.75
108774,4,154,Person ID 108774,38.50
124236,4,135,Person ID 124236,33.75
100904,4,131,Person ID 100904,32.75
154677,4,96,Person ID 154677,24.00
103284,4,94,Person ID 103284,23.50
121097,4,93,Person ID 121097,23.25
106502,4,92,Person ID 106502,23.00
171476,4,91,Person ID 171476,22.75
127300,4,84,Person ID 127300,21.00
151471,4,80,Person ID 151471,20.00
106102,4,74,Person ID 106102,18.50
106922,4,69,Person ID 106922,17.25
101468,4,67,Person ID 101468,16.75
103420,4,67,Person ID 103420,16.75
154623,4,67,Person ID 154623,16.75
164785,4,63,Person ID 164785,15.75
185176,4,63,Person ID 185176,15.75
111962,4,62,Person ID 111962,15.50
135267,4,60,Person ID 135267,15.00
107829,4,58,Person ID 107829,14.50
105916,4,56,Person ID 105916,14.00
103145,4,55,Person ID 103145,13.75
140776,4,55,Person ID 140776,13.75
1,4,53,Person ID 1,13.25
167903,4,53,Person ID 167903,13.25
129944,4,52,Person ID 129944,13.00
161371,4,52,Person ID 161371,13.00
172503,4,52,Person ID 172503,13.00
101736,4,50,Person ID 101736,12.50
105415,4,50,Person ID 105415,12.50
112446,4,50,Person ID 112446,12.50
106929,4,49,Person ID 106929,12.25
131336,4,49,Person ID 131336,12.25
100962,4,41,Person ID 100962,10.25
132137,4,41,Person ID 132137,10.25
173368,4,38,Person ID 173368,9.50
136955,4,35,Person ID 136955,8.75
111917,4,34,Person ID 111917,8.50
106630,4,30,Person ID 106630,7.50
100289,4,29,Person ID 100289,7.25
112091,4,27,Person ID 112091,6.75
129671,4,27,Person ID 129671,6.75
120895,4,25,Person ID 120895,6.25
103443,4,24,Person ID 103443,6.00
160188,4,23,Person ID 160188,5.75
155114,4,22,Person ID 155114,5.50
136768,4,18,Person ID 136768,4.50
100074,4,8,Person ID 100074,2.00
101824,4,8,Person ID 101824,2.00
190446,3,293,Person ID 190446,97.67
100092,3,164,Person ID 100092,54.67
173123,3,160,Person ID 173123,53.33
187071,3,149,Person ID 187071,49.67
167285,3,145,Person ID 167285,48.33
150872,3,132,Person ID 150872,44.00
178105,3,131,Person ID 178105,43.67
158246,3,95,Person ID 158246,31.67
162845,3,92,Person ID 162845,30.67
191911,3,91,Person ID 191911,30.33
101245,3,78,Person ID 101245,26.00
189643,3,76,Person ID 189643,25.33
101014,3,71,Person ID 101014,23.67
101925,3,71,Person ID 101925,23.67
145333,3,70,Person ID 145333,23.33
166339,3,68,Person ID 166339,22.67
140468,3,67,Person ID 140468,22.33
162728,3,67,Person ID 162728,22.33
151899,3,64,Person ID 151899,21.33
104195,3,63,Person ID 104195,21.00
167681,3,61,Person ID 167681,20.33
112476,3,55,Person ID 112476,18.33
148922,3,53,Person ID 148922,17.67
100942,3,52,Person ID 100942,17.33
139271,3,52,Person ID 139271,17.33
104320,3,48,Person ID 104320,16.00
140633,3,47,Person ID 140633,15.67
102074,3,46,Person ID 102074,15.33
156403,3,46,Person ID 156403,15.33
158617,3,45,Person ID 158617,15.00
171271,3,45,Person ID 171271,15.00
192924,3,41,Person ID 192924,13.67
130115,3,40,Person ID 130115,13.33
153768,3,40,Person ID 153768,13.33
104490,3,39,Person ID 104490,13.00
180834,3,37,Person ID 180834,12.33
143230,3,36,Person ID 143230,12.00
149934,3,35,Person ID 149934,11.67
101455,3,34,Person ID 101455,11.33
152127,3,33,Person ID 152127,11.00
107241,3,32,Person ID 107241,10.67
146766,3,32,Person ID 146766,10.67
111500,3,31,Person ID 111500,10.33
132724,3,31,Person ID 132724,10.33
158096,3,31,Person ID 158096,10.33
101394,3,30,Person ID 101394,10.00
102677,3,30,Person ID 102677,10.00
179449,3,30,Person ID 179449,10.00
136893,3,29,Person ID 136893,9.67
100318,3,28,Person ID 100318,9.33
123384,3,28,Person ID 123384,9.33
109626,3,27,Person ID 109626,9.00
158257,3,27,Person ID 158257,9.00
108842,3,26,Person ID 108842,8.67
109057,3,26,Person ID 109057,8.67
103924,3,25,Person ID 103924,8.33
128487,3,24,Person ID 128487,8.00
146955,3,24,Person ID 146955,8.00
112618,3,23,Person ID 112618,7.67
146757,3,23,Person ID 146757,7.67
101027,3,22,Person ID 101027,7.33
121167,3,22,Person ID 121167,7.33
130683,3,22,Person ID 130683,7.33
132159,3,21,Person ID 132159,7.00
108498,3,20,Person ID 108498,6.67
102887,3,19,Person ID 102887,6.33
104373,3,19,Person ID 104373,6.33
121267,3,19,Person ID 121267,6.33
125125,3,19,Person ID 125125,6.33
145968,3,19,Person ID 145968,6.33
121087,3,18,Person ID 121087,6.00
104141,3,16,Person ID 104141,5.33
127560,3,14,Person ID 127560,4.67
153166,3,14,Person ID 153166,4.67
107073,3,12,Person ID 107073,4.00
121814,3,12,Person ID 121814,4.00
111268,3,10,Person ID 111268,3.33
108817,3,6,Person ID 108817,2.00
112068,3,6,Person ID 112068,2.00
125942,3,6,Person ID 125942,2.00
131382,3,6,Person ID 131382,2.00
140473,3,6,Person ID 140473,2.00
174632,2,117,Person ID 174632,58.50
156150,2,103,Person ID 156150,51.50
184564,2,97,Person ID 184564,48.50
110526,2,88,Person ID 110526,44.00
122675,2,84,Person ID 122675,42.00
135182,2,80,Person ID 135182,40.00
158715,2,79,Person ID 158715,39.50
155608,2,76,Person ID 155608,38.00
146052,2,74,Person ID 146052,37.00
182571,2,70,Person ID 182571,35.00
164372,2,68,Person ID 164372,34.00
109428,2,67,Person ID 109428,33.50
165973,2,65,Person ID 165973,32.50
173096,2,64,Person ID 173096,32.00
103127,2,62,Person ID 103127,31.00
186087,2,62,Person ID 186087,31.00
122046,2,59,Person ID 122046,29.50
186143,2,58,Person ID 186143,29.00
152586,2,56,Person ID 152586,28.00
156939,2,56,Person ID 156939,28.00
100944,2,54,Person ID 100944,27.00
107443,2,54,Person ID 107443,27.00
112745,2,53,Person ID 112745,26.50
176232,2,53,Person ID 176232,26.50
177341,2,53,Person ID 177341,26.50
166217,2,52,Person ID 166217,26.00
148330,2,51,Person ID 148330,25.50
158747,2,51,Person ID 158747,25.50
182588,2,51,Person ID 182588,25.50
151433,2,49,Person ID 151433,24.50
103222,2,46,Person ID 103222,23.00
111520,2,46,Person ID 111520,23.00
102428,2,44,Person ID 102428,22.00
107595,2,43,Person ID 107595,21.50
144419,2,41,Person ID 144419,20.50
101665,2,40,Person ID 101665,20.00
130002,2,40,Person ID 130002,20.00
126640,2,39,Person ID 126640,19.50
178798,2,39,Person ID 178798,19.50
179530,2,39,Person ID 179530,19.50
